Trial,R=250,R=500,R=1000,R=1500,R=2000,R=2500,R=3000
452,4817,18868,50647,99715,111477,331161,214134
453,4216,17606,22775,182486,148574,252718,543667
454,6001,19614,49966,160979,191570,470996,346573
455,5175,27856,60243,147334,150036,421028,224254
456,7104,27503,86281,143802,159836,333773,277387
457,4710,16759,108385,86369,151644,493553,415246
458,9417,23901,68370,178126,193035,249979,227428
459,5038,42760,44043,104474,151572,263995,277831
460,4899,39410,42524,67532,306094,450833,434029
461,5296,25559,48927,102517,228425,236056,467735
462,11308,40276,76686,97024,256358,652432,329761
463,7466,15405,36767,218605,271042,338293,601469
464,7387,17967,28225,248225,179498,145709,289667
465,3864,10837,80084,166969,122555,258435,296165
466,3718,19587,53414,162051,326382,286293,614150
467,4358,27966,30794,92354,214895,753906,325618
468,7672,25649,68557,90763,206903,214774,208068
469,7056,25277,106935,52989,244208,99074,180471
470,10302,21637,79208,155750,96785,238154,543209
471,8014,14965,66983,104774,237976,217923,570153
472,3539,19003,23809,131207,229276,160651,504582
473,8146,32159,35347,67301,122720,204406,254874
474,7542,11837,33272,197108,178769,240183,392638
475,5326,20275,84746,275752,204255,167599,297785
476,3653,17572,104917,107277,228366,962616,212643
477,7134,23663,85564,131149,116623,158391,778033
478,4064,29065,58227,86859,142508,197374,229584
479,6684,20465,42478,123759,199625,511951,401309
480,4081,34517,117280,90708,218851,143711,332096
481,7033,27626,39302,71431,116736,177431,554583
482,6262,11371,66902,229049,416154,260815,311031
483,6484,26991,42279,60596,308527,170003,544589
484,6363,14003,69906,78487,231777,286549,295935
485,4536,21394,22181,67106,128021,240553,290081
486,3198,47339,35440,62876,195425,118111,375530
487,7829,17381,39637,152711,229390,154796,231599
488,10267,15011,84216,70213,350102,212425,269945
489,11233,20416,66296,109277,196351,235212,433554
490,12635,60994,64345,76467,229420,307482,320971
491,4246,15328,55515,107709,116631,243018,435096
492,6428,15884,43083,110944,127537,334800,247278
493,11444,35900,36202,200688,178376,230236,280282
494,7548,19499,64004,80732,148421,204690,218724
495,9067,13434,36850,120568,153588,389983,372732
496,3266,10398,30764,116165,255707,327657,161610
497,3518,13900,54274,89774,317021,221511,520400
498,4993,11570,33845,166337,155027,707023,157134
499,8190,11372,161130,80629,184254,164583,623481
500,7792,33003,37178,62231,154174,202962,192083
501,5906,11900,79687,170116,317470,508028,240765
502,10533,34303,78016,36971,253959,405166,605459
503,2995,38979,84727,157096,299903,186517,406345
504,6950,11379,51306,108861,244282,143365,694226
505,7295,14952,47673,59777,434715,180348,285869
506,3692,18558,38695,96999,88563,187128,357739
507,4035,12157,86785,155889,460273,255736,269414
508,7294,23449,56368,143933,132142,454466,286711
509,4981,7079,61647,54223,267276,565050,260688
510,7305,21164,73685,195754,207135,319871,341956
511,3781,61199,37299,178224,252008,253956,221828
512,4976,20084,40399,150692,166530,204969,250279
513,6207,16511,79236,94320,159355,206833,205183
514,9283,29637,93759,146973,152721,228249,330063
515,7889,8581,71331,113178,312428,289332,181782
516,7043,15290,119080,178995,233834,472733,561497
517,13513,22928,92282,77139,212454,222097,381758
518,7400,18411,105535,85297,96130,223814,595671
519,9566,38088,92218,83841,244117,203379,243479
520,5471,25602,123022,137028,169121,1272653,208530
521,10748,13901,64406,99226,100793,308714,459962
522,8915,19824,45238,182183,81878,281798,221885
523,2365,9972,72704,155429,232000,270645,428872
524,2729,13070,111689,79284,146053,170167,453752
525,5186,15216,46641,76377,154725,164769,216695
526,3577,33093,126034,104071,122189,311449,383368
527,4305,17343,87164,224430,168696,298336,575021
528,7860,26719,56242,118597,362845,197928,383226
529,4295,30565,42185,107909,88884,156988,161516
530,9324,11722,111526,102849,200970,429582,263745
531,5591,15235,97408,83365,241116,156704,263554
532,9736,23230,51827,95921,103137,747844,312761
533,5717,19198,44848,133073,108736,340684,275548
534,6416,47687,26461,60319,206917,194404,420539
535,7585,18167,43432,128382,201542,270331,298167
536,5305,24416,79591,68760,112605,262485,606602
537,10035,17147,67059,203414,185151,272549,512982
538,4588,10737,54984,87409,386774,273040,248829
539,13115,8233,72749,115722,283536,404584,439343
540,4660,14307,70492,109752,123415,198134,140034
541,6579,26020,43910,63880,134554,189407,202833
542,8511,19706,32462,193789,143149,153960,383368
543,5414,32097,36046,113606,253768,145009,246167
544,6010,29311,27880,49605,133366,384209,328045
545,4559,19875,97868,92950,102225,342188,255338
546,5079,10533,45251,87418,121991,164268,491306
547,8393,16429,65468,116783,136096,249928,287481
548,4473,15400,87752,138750,270421,191897,371189
549,8485,11531,33794,66989,150230,161759,217050
550,4459,15646,63942,217336,198287,266967,492115
551,7206,9835,75278,80798,108813,148102,250651
552,3158,19402,36529,152768,157814,325239,597254
553,6235,44116,76137,89067,134977,141471,139801
554,6219,10125,39628,128482,154450,234503,479410
555,6668,24311,79834,224650,116340,567163,412779
556,2577,18204,112612,273044,138142,581505,302115
557,5018,25314,92004,78546,127022,222142,486323
558,12194,18135,39932,106867,208920,152526,286228
559,7694,18752,69482,114073,135728,344599,276487
560,4690,28702,111021,67796,106290,523987,179938
561,11111,22766,38644,48050,144751,160030,273553
