Trial,R=250,R=500,R=1000,R=1500,R=2000,R=2500
334,3044,20757,29663,89342,128895,289648
335,6765,9863,40440,177240,182417,340385
336,8189,18896,40308,63518,366029,155152
337,7056,18769,69989,42408,271750,279267
338,6102,24729,52354,250302,113971,272466
339,4083,18116,38967,177169,145313,150910
340,8576,22253,109408,85741,118406,254755
341,4382,19214,63846,150193,661706,276007
342,5931,18292,54241,61926,397401,207302
343,10600,15734,111931,87714,240312,245076
344,4932,10043,69277,73183,170437,240576
345,6084,19952,51104,86764,207249,191976
346,4424,25885,52248,62359,117344,183985
347,5281,22319,78619,94000,195465,173303
348,3878,18770,27370,102155,241331,284152
349,3704,15309,79236,112120,94048,277241
350,9188,13703,86801,159900,182993,286717
351,4161,18928,77332,118374,159711,637593
352,7926,34326,58032,68074,68520,255534
353,5248,19701,72257,158321,211364,277160
354,6652,11593,101438,126850,98447,227165
355,9068,19481,71904,73653,298952,238727
356,5228,17042,46028,162628,246563,193119
357,11233,17821,74126,107290,145398,503958
358,3321,15807,29192,65719,235368,217769
359,4543,39814,68149,134142,161857,136929
360,3457,23626,80376,93573,110622,132652
361,5351,26817,29278,83206,116047,151379
362,4306,12537,64125,153854,125910,182935
363,7445,40395,63950,65597,188158,147714
364,5552,12545,56377,137178,130233,346566
365,9444,18913,27509,162804,153476,177705
366,6961,17030,61506,54850,125932,319290
367,14524,40674,27788,137133,460061,265813
368,7831,44184,94941,85123,111248,521007
369,13609,29793,74906,63390,105619,294896
370,7434,17071,56632,146573,266824,136588
371,3688,15786,52493,63772,480108,211742
372,7399,23281,50183,63900,125874,152215
373,5309,13125,20193,102098,76850,264083
374,4098,18732,46015,103392,195840,197421
375,4111,10862,177851,94620,141230,190738
376,4971,9108,73477,163386,194330,296284
377,7515,17166,58656,179118,155881,165980
378,9401,28717,43427,97197,165522,209442
379,8590,15331,73789,108198,181110,109874
380,5816,26731,55307,209520,156543,214943
381,5993,14463,58513,120961,429731,325592
382,12541,44080,29908,120229,132719,185449
383,2653,9890,49430,125023,267961,347463
384,6408,28576,91065,73371,92993,267400
385,3387,14336,76168,149797,245731,387958
386,11215,15989,49568,210653,176350,477227
387,3607,13210,107097,87159,236717,204584
388,6026,12141,47416,115644,121102,348027
389,3389,51958,25966,73960,337651,164341
390,7529,21681,91469,76249,159119,336736
391,7713,12533,34596,86704,274681,139493
392,3610,21248,33249,197652,175078,237485
393,14351,20745,66096,120498,280575,180693
394,3159,18622,30874,132993,204579,434811
395,5737,32088,58480,125362,108495,200644
396,2972,24374,40136,61792,156224,213870
397,7635,50323,128994,160798,187673,209756
398,7065,29260,80541,263764,265362,256445
399,10761,67004,47105,137804,196732,591423
400,5267,23292,64165,80689,149479,170551
401,6420,32206,59097,81751,214046,247652
402,7820,22274,49539,183247,152230,281004
403,6171,19553,41586,114449,170035,186999
404,7442,35509,53449,45166,187574,660016
405,16308,10810,36439,89007,142246,272475
406,5346,16694,93600,106796,226085,202289
407,3091,32210,25549,102681,202982,289873
408,6097,9021,114475,66841,155682,708519
409,5459,39762,25227,123280,195914,279269
410,6535,9390,61115,172279,381988,295383
411,4651,9524,121265,52004,121631,353513
412,3531,16959,67823,240897,200757,249385
413,6936,19510,50539,43267,140109,132982
414,5592,14814,26646,155729,172532,209279
415,5578,16515,58046,83034,321777,356543
416,4236,23909,73781,78682,81699,326053
417,4699,25797,58387,156783,396128,626236
418,4340,22438,20689,88031,366331,154722
419,4743,22459,40068,101125,345773,223877
420,7058,9948,51304,199016,174784,307896
421,5700,28931,51068,71398,200653,325009
422,6782,24805,102576,125204,179995,190661
423,5538,29262,85350,109468,170233,210108
424,5443,14757,48815,101732,188289,353528
425,9070,12312,70778,188373,127554,215020
426,3710,18376,100933,73062,148359,519727
427,3797,15650,28548,90279,102388,190980
428,6582,33220,59264,116909,350782,246538
429,4964,12067,34561,124151,221149,122111
430,4997,22876,65456,164545,182668,151501
431,2462,18976,38635,156033,120299,266890
432,7531,40072,81392,127211,124033,154963
433,7074,17761,82945,328718,277328,210949
434,5965,20292,73138,121066,101500,392523
435,6094,15506,45977,98097,85401,474879
436,5569,21681,39882,84638,271674,373294
437,8548,22510,59104,92339,150472,356738
438,7568,28467,36235,119144,205397,305933
439,4609,24934,49327,78962,437410,415125
440,4234,30289,52333,97562,150909,316730
