Trial,R=250,R=500,R=1000,R=2000
948,13323,8853,35454,254064
949,5322,18019,50039,178706
950,9352,58488,55009,87658
951,6916,16816,41806,390298
952,3889,19585,49218,117884
953,9339,8508,45565,215820
954,8500,11159,63266,235620
955,10786,11029,105366,169327
956,10486,12021,35225,173863
957,5275,27513,66724,201954
958,8629,16999,69836,88040
959,12535,17463,81720,289931
960,4381,20836,39295,144281
961,6278,18278,116673,170415
962,3132,20785,56511,519733
963,4287,15432,84684,169354
964,5721,22135,47933,149529
965,4882,20561,93802,273014
966,6775,17299,47466,244252
967,4975,15700,29134,101413
968,3762,17788,88956,184972
969,7313,21613,74088,246709
970,7844,18548,54547,107762
971,10842,21850,27435,185283
972,8863,45766,76559,577619
973,8372,42104,96908,198133
974,2484,24862,98195,155059
975,5550,9795,34629,214053
976,8281,35294,76442,139388
977,5014,24612,60071,170970
978,3756,20733,114053,301138
979,3075,22523,50459,316366
980,3726,17070,34799,301799
981,8269,25522,55796,107569
982,9415,12971,38101,118200
983,4379,31239,60272,146286
984,6492,47953,187342,129960
985,4213,45293,44896,168703
986,6812,21993,48833,344333
987,4829,18390,72818,178260
988,6888,21169,32072,287739
989,3412,17279,60214,244532
990,6163,28247,45052,116597
991,2898,16509,54298,97092
992,7280,24706,78669,334698
